121,-49.956258043165285,4.0,0
11,-53.731482066268285,4.5,0
2,-46.84075706384448,2.5,0
32,-52.79567899511838,5.0,1
154,-46.071331722797424,5.5,1
11,-58.937377937595265,1.2,2
18,-42.19991104707161,6.0,0
18,-58.854714918232474,6.0,1
23,-60.96982887274023,1.0,1
4,-51.84136636873858,1.5,0
16,-58.78617597878374,5.0,1
2,-71.99999999999999,7.0,3
2,-63.47128104620114,0.3,0
4,-53.121234797375834,1.5,3
22,-63.08631395023469,3.0,1
9,-56.30747860346602,4.5,1
5,-62.53028701851176,6.0,2
1,-57,4.0,2
32,-43.702664329313336,15.0,2
395,-52.16036717907763,3.0,0
54,-60.48189343054724,1.5,1
2,-62.24595133227495,8.0,1
2,-61.88587392869641,5.5,1
103,-60.465130240836245,12.0,4
46,-68.5944063975424,8.0,3
236,-45.6350856942801,10.0,3
17,-57.53655421850476,4.0,1
13,-67.59224575174102,9.0,2
13,-64.97184097806347,1.0,1
109,-62.924345118546256,3.0,1
76,-56.19082297232771,1.5,0
16,-61.73965726624877,1.5,1
40,-54.841508721311484,0.5,0
6,-56.907042582406,1.0,0
13,-54.27036048740077,3.5,1
