339,-49.08581172558254,4.0,0
343,-40.94463178428482,4.5,0
214,-41.736899494987654,2.5,0
338,-51.758388794144885,5.0,1
305,-62.43953261243257,5.5,1
177,-42.76516042927259,1.2,2
284,-39.06463978818114,6.0,0
232,-56.63639599995597,6.0,1
439,-38.77005056437201,1.0,1
216,-32.67759459372175,1.5,0
79,-57.89117087702628,5.0,1
48,-53.195932644532526,10.0,1
65,-68.34470729100329,7.0,3
337,-34.16696610800209,0.3,0
208,-45.87560898705994,1.5,3
376,-42.204601077806565,3.0,1
314,-57.79868998940397,4.5,1
108,-59.161164034407165,6.0,2
76,-50.27192193087251,4.0,2
29,-66.57555070769178,15.0,2
498,-34.21975190727833,3.0,0
300,-39.91204608001699,1.5,1
137,-63.21792797128477,8.0,1
120,-61.94220044405775,5.5,1
28,-80.17689570305977,12.0,4
87,-81.26456219997743,8.0,3
294,-66.67132850209295,10.0,3
208,-50.742296781267875,4.0,1
301,-66.87053148656733,9.0,2
413,-32.61077225471181,1.0,1
303,-49.40600458773217,3.0,1
8,-69.42558713662285,8.5,4
66,-46.13678662707152,1.8,2
303,-33.09418324461521,1.5,0
301,-40.79071557702369,1.5,1
298,-32.38315489395659,0.5,0
300,-29.990027803957027,1.0,0
185,-46.06511887440607,3.5,1
