Anand ,d8:47:32:3a:e2:cc,2,2.5GHz,2412,-82.0,-90.0,8.0
AndroidAP55DB,3c:57:6c:09:55:db,6,2.5GHz,2437,-43.75,-92.0,48.25
Nivi,b8:c1:ac:7c:b5:d8,11,2.5GHz,2462,-79.02702702702705,-94.24324324324324,15.216216216216196
0LA_DRIVER_HOTSPOT_t+8j1vyXCO,00:23:b1:8b:08:56,11,2.5GHz,2462,-91.0,-95.0,4.0
RTL8186-default,00:00:00:00:00:00,11,2.5GHz,2462,-91,-95,4
kindpanda2.4,68:ff:7b:aa:a0:87,10,2.5GHz,2457,-90.5,-93.0,2.5
Ranjani,0c:d2:b5:96:5e:8b,10,2.5GHz,2457,-89,-93,4
